"document","label","term_ back","term_ government","term_ news","term_ people","term_ photos","term_ play","term_ police","term_ season","term_ state","term_ states","term_ team","term_ time","term_ told","term_ trump","term_ week","term_ yards","term_ years","term_game","term_president"
1,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
2,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
3,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
4,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
5,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
6,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
7,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
8,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
9,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
10,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
11,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
12,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
13,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
14,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
15,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
16,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
17,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
18,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
19,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
20,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
21,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
22,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
23,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
24,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
25,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
26,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
27,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
28,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
29,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
30,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
31,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
32,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
33,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
34,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
35,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
36,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
37,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
38,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
39,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
40,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
41,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
42,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
43,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
44,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
45,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
46,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
47,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
48,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
49,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
50,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
51,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
52,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
53,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
54,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
55,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
56,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
57,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
58,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
59,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
60,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
61,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
62,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
63,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
64,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
65,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
66,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
67,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
68,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
69,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
70,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
71,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
72,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
73,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
74,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
75,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
76,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
77,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
78,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
79,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
80,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
81,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
82,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
83,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
84,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
85,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
86,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
87,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
88,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
89,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
90,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
91,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
92,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
93,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
94,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
95,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
96,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
97,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
98,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
99,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
100,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
101,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
102,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
103,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
104,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
105,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
106,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
107,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
108,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
109,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
110,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
111,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
112,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
113,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
114,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
115,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
116,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
117,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
118,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
119,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
120,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
121,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
122,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
123,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
124,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
125,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
126,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
127,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
128,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
129,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
130,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
131,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
132,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
133,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
134,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
135,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
136,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
137,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
138,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
139,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
140,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
141,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
142,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
143,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
144,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
145,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
146,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
147,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
148,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
149,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
150,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
151,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
152,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
153,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
154,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
155,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
156,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
157,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
158,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
159,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
160,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
161,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
162,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
163,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
164,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
165,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
166,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
167,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
168,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
169,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
170,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
171,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
172,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
173,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
174,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
175,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
176,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
177,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
178,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
179,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
180,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
181,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
182,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
183,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
184,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
185,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
186,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
187,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
188,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
189,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
190,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
191,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
192,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
193,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
194,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
195,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
196,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
197,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
198,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
199,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
200,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
201,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
202,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
203,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
204,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
205,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
206,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
207,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
208,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
209,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
210,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
211,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
212,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
213,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
214,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
215,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
216,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
217,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
218,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
219,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
220,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
221,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
222,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
223,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
224,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
225,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
226,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
227,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
228,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
229,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
230,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
231,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
232,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
233,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
234,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
235,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
236,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
237,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
238,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
239,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
240,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
241,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
242,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
243,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
244,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
245,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
246,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
247,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
248,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
249,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
250,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
251,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
252,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
253,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
254,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
255,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
256,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
257,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
258,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
259,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
260,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
261,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
262,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
263,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
264,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
265,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
266,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
267,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
268,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
269,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
270,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
271,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
272,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
273,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
274,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
275,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
276,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
277,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
278,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
279,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
280,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
281,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
282,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
283,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
284,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
285,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
