"document","label","term_ back","term_ government","term_ news","term_ people","term_ photos","term_ play","term_ police","term_ season","term_ state","term_ states","term_ team","term_ time","term_ told","term_ trump","term_ week","term_ yards","term_ years","term_game","term_president"
286,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
287,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
288,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
289,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
290,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
291,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
292,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
293,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
294,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
295,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
296,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
297,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
298,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
299,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
300,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
301,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
302,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
303,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
304,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
305,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
306,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
307,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
308,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
309,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
310,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
311,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
312,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
313,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
314,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
315,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
316,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
317,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
318,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
319,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
320,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
321,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
322,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
323,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
324,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
325,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
326,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
327,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
328,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
329,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
330,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
331,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
332,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
333,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
334,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
335,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
336,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
337,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
338,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
339,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
340,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
341,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
342,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
343,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
344,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
345,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
346,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
347,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
348,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
349,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
350,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
351,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
352,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
353,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
354,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
355,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
356,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
357,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
358,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
359,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
360,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
361,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
362,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
363,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
364,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
365,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
366,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
367,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
368,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
369,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
370,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
371,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
372,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
373,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
374,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
375,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
376,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
377,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
378,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
379,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
380,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
381,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
382,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
383,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
384,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
385,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
386,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
387,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
388,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
389,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
390,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
391,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
392,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
393,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
394,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
395,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
396,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
397,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
398,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
399,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
400,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
401,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
402,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
403,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
404,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
405,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
406,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
407,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
408,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
409,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
410,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
411,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
412,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
413,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
414,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
415,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
416,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
417,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
418,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
419,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
420,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
421,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
422,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
423,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
424,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
425,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
426,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
427,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
428,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
429,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
430,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
431,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
432,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
433,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
434,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
435,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
436,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
437,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
438,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
439,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
440,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
441,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
442,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
443,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
444,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
445,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
446,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
447,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
448,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
449,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
450,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
451,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
452,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
453,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
454,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
455,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
456,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
457,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
458,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
459,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
460,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
461,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
462,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
463,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
464,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
465,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
466,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
467,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
468,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
469,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
470,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
471,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
472,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
473,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
474,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
475,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
476,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
477,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
478,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
479,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
480,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
481,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
482,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
483,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
484,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
485,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
486,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
487,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
488,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
489,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
490,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
491,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
492,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
493,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
494,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
495,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
496,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
497,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
498,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
499,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
500,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
501,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
502,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
503,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
504,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
505,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
506,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
507,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
508,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
509,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
510,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
511,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
512,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
513,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
514,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
515,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
516,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
517,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
518,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
519,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
520,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
521,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
522,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
523,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
524,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
525,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
526,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
527,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
528,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
529,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
530,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
531,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
532,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
533,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
534,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
535,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
536,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
537,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
538,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
539,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
540,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
541,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
542,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
543,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
544,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
545,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
546,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
547,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
548,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
549,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
550,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
551,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
552,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
553,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
554,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
555,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
556,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
557,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
558,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
559,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
560,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
561,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
562,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
563,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
564,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
565,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
566,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
567,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
568,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
569,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
570,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
571,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
572,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
573,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
574,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
