"document","label","term_ back","term_ big","term_ government","term_ made","term_ make","term_ one","term_ part","term_ people","term_ reuters","term_ see","term_ source","term_ story","term_ team","term_ trump","term_ week","term_ year","term_ years","term_news","term_time"
1,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
2,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
3,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
4,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
5,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
6,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
7,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
8,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
9,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
10,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
11,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
12,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
13,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
14,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
15,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
16,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
17,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
18,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
19,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
20,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
21,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
22,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
23,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
24,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
25,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
26,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
27,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
28,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
29,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
30,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
31,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
32,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
33,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
34,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
35,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
36,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
37,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
38,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
39,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
40,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
41,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
42,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
43,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
44,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
45,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
46,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
47,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
48,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
49,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
50,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
51,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
52,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
53,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
54,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
55,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
56,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
57,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
58,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
59,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
60,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
61,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
62,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
63,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
64,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
65,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
66,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
67,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
68,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
69,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
70,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
71,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
72,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
73,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
74,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
75,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
76,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
77,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
78,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
79,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
80,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
81,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
82,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
83,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
84,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
85,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
86,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
87,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
88,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
89,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
90,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
91,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
92,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
93,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
94,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
95,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
96,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
97,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
98,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
99,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
100,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
101,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
102,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
103,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
104,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
105,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
106,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
107,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
108,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
109,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
110,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
111,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
112,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
113,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
114,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
115,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
116,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
117,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
118,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
119,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
120,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
121,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
122,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
123,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
124,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
125,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
126,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
127,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
128,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
129,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
130,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
131,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
132,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
133,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
134,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
135,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
136,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
137,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
138,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
139,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
140,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
141,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
142,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
143,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
144,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
145,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
146,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
147,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
148,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
149,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
150,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
151,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
152,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
153,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
154,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
155,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
156,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
157,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
158,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
159,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
160,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
161,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
162,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
163,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
164,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
165,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
166,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
167,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
168,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
169,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
170,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
171,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
172,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
173,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
174,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
175,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
176,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
177,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
178,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
179,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
180,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
181,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
182,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
183,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
184,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
185,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
186,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
187,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
188,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
189,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
190,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
191,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
192,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
193,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
194,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
195,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
196,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
197,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
198,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
199,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
200,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
201,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
202,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
203,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
204,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
205,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
206,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
207,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
208,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
209,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
210,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
211,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
212,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
213,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
214,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
215,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
216,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
217,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
218,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
219,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
220,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
221,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
222,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
223,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
224,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
225,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
226,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
227,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
228,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
229,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
230,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
231,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
232,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
233,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
234,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
235,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
236,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
237,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
238,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
239,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
240,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
241,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
242,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
243,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
244,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
245,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
246,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
247,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
248,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
249,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
250,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
251,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
252,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
253,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
254,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
255,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
256,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
257,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
258,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
259,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
260,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
261,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
262,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
263,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
264,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
265,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
266,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
267,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
268,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
269,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
270,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
271,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
272,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
273,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
274,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
275,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
276,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
277,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
278,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
279,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
280,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
281,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
282,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
283,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
284,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
285,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
