"document","label","term_ back","term_ big","term_ government","term_ made","term_ make","term_ one","term_ part","term_ people","term_ reuters","term_ see","term_ source","term_ story","term_ team","term_ trump","term_ week","term_ year","term_ years","term_news","term_time"
286,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
287,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
288,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
289,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
290,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
291,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
292,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
293,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
294,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
295,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
296,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
297,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
298,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
299,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
300,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
301,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
302,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
303,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
304,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
305,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
306,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
307,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
308,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
309,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
310,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
311,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
312,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
313,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
314,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
315,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
316,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
317,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
318,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
319,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
320,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
321,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
322,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
323,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
324,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
325,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
326,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
327,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
328,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
329,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
330,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
331,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
332,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
333,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
334,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
335,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
336,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
337,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
338,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
339,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
340,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
341,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
342,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
343,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
344,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
345,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
346,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
347,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
348,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
349,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
350,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
351,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
352,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
353,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
354,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
355,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
356,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
357,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
358,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
359,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
360,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
361,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
362,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
363,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
364,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
365,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
366,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
367,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
368,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
369,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
370,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
371,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
372,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
373,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
374,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
375,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
376,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
377,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
378,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
379,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
380,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
381,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
382,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
383,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
384,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
385,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
386,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
387,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
388,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
389,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
390,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
391,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
392,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
393,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
394,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
395,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
396,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
397,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
398,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
399,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
400,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
401,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
402,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
403,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
404,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
405,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
406,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
407,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
408,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
409,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
410,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
411,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
412,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
413,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
414,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
415,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
416,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
417,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
418,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
419,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
420,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
421,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
422,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
423,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
424,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
425,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
426,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
427,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
428,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
429,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
430,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
431,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
432,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
433,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
434,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
435,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
436,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
437,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
438,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
439,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
440,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
441,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
442,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
443,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
444,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
445,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
446,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
447,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
448,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
449,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
450,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
451,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
452,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
453,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
454,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
455,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
456,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
457,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
458,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
459,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
460,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
461,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
462,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
463,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
464,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
465,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
466,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
467,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
468,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
469,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
470,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
471,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
472,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
473,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
474,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
475,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
476,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
477,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
478,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
479,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
480,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
481,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
482,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
483,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
484,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
485,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
486,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
487,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
488,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
489,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
490,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
491,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
492,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
493,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
494,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
495,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
496,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
497,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
498,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
499,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
500,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
501,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
502,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
503,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
504,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
505,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
506,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
507,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
508,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
509,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
510,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
511,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
512,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
513,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
514,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
515,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
516,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
517,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
518,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
519,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
520,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
521,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
522,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
523,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
524,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
525,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
526,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
527,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
528,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
529,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
530,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
531,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
532,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
533,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
534,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
535,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
536,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
537,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
538,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
539,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
540,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
541,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
542,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
543,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
544,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
545,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
546,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
547,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
548,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
549,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
550,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
551,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
552,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
553,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
554,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
555,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
556,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
557,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
558,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
559,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
560,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
561,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
562,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
563,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
564,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
565,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
566,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
567,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
568,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
569,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
570,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
571,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
572,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
573,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
574,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
